,UNKNOWN,DRY,WET,OTHER,SAND_MUD_DIRT
17730596,0,1,0,0,0
17730598,0,1,0,0,0
17730629,0,1,0,0,0
17732368,0,1,0,0,0
17734066,0,1,0,0,0
17734067,0,1,0,0,0
17737404,0,1,0,0,0
17737407,0,1,0,0,0
17737426,0,1,0,0,0
17737448,0,1,0,0,0
17737541,0,1,0,0,0
17737547,0,1,0,0,0
17737550,0,1,0,0,0
17737581,0,1,0,0,0
17737646,0,1,0,0,0
17737648,0,1,0,0,0
17737650,0,1,0,0,0
17743887,0,1,0,0,0
17743888,0,1,0,0,0
17744951,0,1,0,0,0
17746331,0,1,0,0,0
17748076,0,1,0,0,0
17748185,0,1,0,0,0
17748189,0,1,0,0,0
17748209,0,1,0,0,0
17748210,0,1,0,0,0
17748211,0,1,0,0,0
17748334,0,1,0,0,0
17748337,0,1,0,0,0
17748340,0,1,0,0,0
17748380,0,0,1,0,0
17750197,0,1,0,0,0
17751409,0,1,0,0,0
17753755,0,1,0,0,0
17753757,0,1,0,0,0
17753759,0,1,0,0,0
17757236,0,1,0,0,0
17757243,0,1,0,0,0
17757400,0,1,0,0,0
17757454,0,1,0,0,0
17757537,0,1,0,0,0
17757541,0,1,0,0,0
17759517,0,1,0,0,0
17760069,0,1,0,0,0
17760192,0,1,0,0,0
17760241,0,1,0,0,0
17763094,0,1,0,0,0
17763994,0,1,0,0,0
17764648,0,1,0,0,0
17765276,0,1,0,0,0
17767665,0,1,0,0,0
17767670,0,1,0,0,0
17767679,0,1,0,0,0
17767694,0,1,0,0,0
17767698,0,1,0,0,0
17767752,0,1,0,0,0
17767753,0,1,0,0,0
17767761,0,1,0,0,0
17767770,0,1,0,0,0
17767850,0,1,0,0,0
17767852,0,1,0,0,0
17767854,0,1,0,0,0
17767887,0,1,0,0,0
17769433,0,1,0,0,0
17771247,0,0,1,0,0
17771259,0,1,0,0,0
17772718,0,1,0,0,0
17772766,0,1,0,0,0
17774042,0,1,0,0,0
17774132,0,1,0,0,0
